"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"gaz (LPG)";"2018";479;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"gaz (LPG)";"2019";470;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"pozostałe";"2015";43;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"pozostałe";"2016";43;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"pozostałe";"2017";1018;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"pozostałe";"2018";1029;"szt.";"";
1203000;"Powiat chrzanowski";"samochody ciężarowe";"pozostałe";"2019";1074;"szt.";"";
1203000;"Powiat chrzanowski";"autobusy";"benzyna";"2015";9;"szt.";"";
1203000;"Powiat chrzanowski";"autobusy";"benzyna";"2016";9;"szt.";"";
1203000;"Powiat chrzanowski";"autobusy";"benzyna";"2017";9;"szt.";"";
1203000;"Powiat chrzanowski";"autobusy";"benzyna";"2018";9;"szt.";"";
1203000;"Powiat chrzanowski";"autobusy";"benzyna";"2019";9;"szt.";"";
1203000;"Powiat chrzanowski";"autobusy";"olej napędowy";"2015";369;"szt.";"";
